athlete_id,name,gender,classification,primary_event,secondary_event,dob,height_cm,weight_kg,years_on_team,guide_runner_required,injury_status,availability_status,coach,region,development_stage
A0019,Goitseone Kgamanyane 019,Male,T12,1500m,100m,2006-06-04,161,78,2,False,Healthy,Restricted,Coach Pule,Lobatse,National
A0020,Onkabetse Ranku 020,Male,T13,200m,1500m,2008-09-02,185,62,2,False,Healthy,Available,Coach Motswana,Gaborone,National
A0021,Tshepo Basinyi 021,Male,T13,100m,1500m,1999-11-10,177,63,3,False,Recovering,Available,Coach Dube,Gaborone,National
A0022,Kagiso Dube 022,Male,T12,800m,200m,2003-03-29,175,58,4,True,Recovering,Available,Coach Modise,Serowe,Emerging
A0023,Tshepo Motsumi 023,Male,T13,200m,1500m,2003-08-04,157,48,7,False,Recovering,Available,Coach Motswana,Selebi-Phikwe,National
A0024,Lebo Lelaka 024,Male,T13,800m,100m,1995-05-12,174,85,3,False,Healthy,Available,Coach Molefe,Selebi-Phikwe,Elite
A0025,Tebogo Molefe 025,Male,T13,400m,1500m,1994-05-19,173,60,9,False,Healthy,Available,Coach Kgamanyane,Gaborone,Elite
A0026,Kagiso Basinyi 026,Male,T12,400m,100m,2003-05-04,186,67,9,False,Healthy,Available,Coach Ranku,Selebi-Phikwe,National
A0027,Keabetswe Mogae 027,Male,T12,100m,800m,1996-07-17,171,67,8,False,Healthy,Available,Coach Modise,Lobatse,Podium Track
A0028,Goitseone Rammidi 028,Male,T13,200m,400m,1994-09-29,169,62,3,False,Healthy,Available,Coach Motswana,Lobatse,National
A0029,Neo Mosinyi 029,Male,T12,200m,400m,2003-07-25,159,69,7,False,Healthy,Available,Coach Basinyi,Maun,Emerging
A0030,Mpho Mogapi 030,Male,T11,400m,1500m,2000-08-14,170,75,6,True,Recovering,Available,Coach Molefe,Gaborone,Elite
A0031,Neo Mosinyi 031,Male,T11,100m,400m,1994-11-27,168,47,7,True,Healthy,Available,Coach Ranku,Molepolole,Emerging
A0032,Goitseone Rammidi 032,Male,T11,800m,200m,1993-08-16,170,80,5,True,Healthy,Available,Coach Kgamanyane,Gaborone,National
A0033,Neo Rammidi 033,Male,T11,100m,200m,2004-05-27,167,56,7,True,Healthy,Available,Coach Dube,Selebi-Phikwe,National
A0034,Neo Mosinyi 034,Male,T13,100m,400m,1998-12-30,161,55,5,False,Recovering,Monitor,Coach Kgamanyane,Lobatse,Emerging
A0035,Lebo Moroka 035,Male,T11,800m,400m,1992-05-31,168,54,9,True,Recovering,Unavailable,Coach Ranku,Francistown,Emerging
A0036,Karabo Mosinyi 036,Male,T13,400m,1500m,2000-10-25,182,62,9,False,Healthy,Available,Coach Pule,Maun,National
A0037,Thato Dube 037,Male,T12,200m,100m,2006-01-10,171,77,5,True,Monitoring,Available,Coach Molefe,Molepolole,Elite
A0038,Oarabile Mokalake 038,Male,T12,400m,100m,2001-12-31,183,63,1,True,Healthy,Available,Coach Basinyi,Selebi-Phikwe,National
A0039,Goitseone Pule 039,Male,T11,800m,200m,1992-01-09,173,71,6,True,Monitoring,Available,Coach Kgamanyane,Selebi-Phikwe,National
A0040,Thato Pule 040,Male,T12,100m,800m,2005-02-28,169,48,1,True,Monitoring,Available,Coach Kgamanyane,Molepolole,Elite
A0041,Neo Rammidi 041,Male,T12,400m,200m,2005-05-19,176,73,7,False,Healthy,Monitor,Coach Ranku,Francistown,National
A0042,Tumelo Dube 042,Male,T11,800m,1500m,2003-05-04,174,56,3,True,Recovering,Monitor,Coach Dube,Serowe,Elite
A0043,Neo Rammidi 043,Male,T11,100m,800m,2000-06-12,169,59,8,True,Recovering,Available,Coach Dube,Molepolole,Podium Track
A0044,Keabetswe Pule 044,Male,T12,100m,200m,2004-01-02,168,76,2,False,Recovering,Available,Coach Ranku,Maun,Elite
A0045,Mpho Bantsi 045,Male,T11,400m,200m,2002-04-29,183,71,8,True,Monitoring,Available,Coach Kgamanyane,Serowe,Elite
A0046,Tebogo Kgamanyane 046,Male,T11,100m,800m,2007-07-17,175,71,5,True,Recovering,Available,Coach Dube,Lobatse,National
A0047,Tebogo Mogae 047,Male,T11,400m,200m,1998-07-10,170,64,9,True,Healthy,Available,Coach Ranku,Serowe,National
A0048,Kagiso Kgamanyane 048,Male,T12,100m,1500m,2003-05-13,165,64,8,False,Healthy,Available,Coach Pule,Gaborone,Emerging
A0049,Mpho Dube 049,Male,T13,100m,800m,2006-03-02,189,72,9,False,Healthy,Restricted,Coach Basinyi,Francistown,Emerging
A0050,Tiro Mogae 050,Male,T12,100m,1500m,2008-04-23,168,60,3,False,Monitoring,Available,Coach Basinyi,Gaborone,National
A0051,Goitseone Lelaka 051,Male,T12,200m,1500m,2007-12-29,164,68,1,False,Healthy,Available,Coach Molefe,Lobatse,Emerging
A0052,Oarabile Rammidi 052,Male,T12,200m,800m,1993-02-26,174,52,5,True,Healthy,Available,Coach Kgamanyane,Lobatse,Elite
A0053,Lebo Molefe 053,Male,T11,200m,1500m,2006-02-24,174,59,7,True,Recovering,Available,Coach Molefe,Gaborone,Elite
A0054,Bakang Basinyi 054,Male,T12,100m,800m,2004-05-03,182,66,3,False,Healthy,Available,Coach Basinyi,Maun,National
A0055,Tumelo Bantsi 055,Male,T13,1500m,400m,1997-05-09,184,60,5,False,Monitoring,Available,Coach Modise,Gaborone,National
A0056,Onkabetse Moroka 056,Male,T11,200m,1500m,2002-02-27,168,67,6,True,Monitoring,Available,Coach Pule,Francistown,National
A0057,Mpho Moroka 057,Male,T12,100m,400m,1996-07-13,179,70,1,False,Monitoring,Available,Coach Pule,Lobatse,National
A0058,Lesego Molefe 058,Male,T13,200m,800m,2003-04-16,161,66,9,False,Healthy,Available,Coach Pule,Lobatse,Emerging
A0059,Oarabile Basinyi 059,Male,T12,200m,100m,2002-08-13,171,61,8,False,Healthy,Available,Coach Ranku,Lobatse,Emerging
A0060,Neo Mosinyi 060,Male,T11,100m,200m,2008-03-09,165,80,8,True,Healthy,Available,Coach Dube,Gaborone,Podium Track
A0061,Tshepo Pule 061,Male,T12,100m,800m,2003-11-06,167,57,7,False,Healthy,Available,Coach Kgamanyane,Selebi-Phikwe,Podium Track
A0062,Thato Motsepe 062,Male,T11,800m,100m,1998-10-06,176,66,8,True,Healthy,Restricted,Coach Pule,Lobatse,Emerging
A0063,Lebo Pule 063,Male,T12,100m,1500m,1992-06-27,170,72,4,True,Monitoring,Restricted,Coach Modise,Gaborone,Elite
A0064,Lesego Pule 064,Male,T13,1500m,200m,2007-08-10,174,68,6,False,Monitoring,Available,Coach Modise,Francistown,National
A0065,Kabelo Mokalake 065,Male,T13,200m,400m,1996-06-29,178,67,5,False,Healthy,Available,Coach Pule,Maun,National
A0066,Tumelo Mosinyi 066,Male,T13,200m,400m,2002-11-17,166,61,7,False,Healthy,Restricted,Coach Motswana,Lobatse,Elite
A0067,Tebogo Kgamanyane 067,Male,T11,400m,1500m,1993-05-07,166,66,3,True,Monitoring,Available,Coach Basinyi,Molepolole,Emerging
A0068,Kagiso Rammidi 068,Male,T13,200m,400m,2003-10-09,162,48,8,False,Healthy,Available,Coach Modise,Serowe,National
A0069,Katlego Molefe 069,Male,T12,100m,200m,1994-10-10,171,52,9,False,Healthy,Available,Coach Kgamanyane,Serowe,Emerging
A0070,Bakang Rammidi 070,Male,T11,200m,800m,2002-01-04,155,68,4,True,Healthy,Available,Coach Ranku,Gaborone,National
A0071,Bakang Pule 071,Male,T13,800m,100m,2002-05-29,165,69,2,False,Healthy,Available,Coach Molefe,Selebi-Phikwe,National
A0072,Goitseone Mogapi 072,Male,T11,1500m,100m,2008-01-27,166,54,6,True,Healthy,Available,Coach Molefe,Gaborone,Emerging
A0073,Neo Mosinyi 073,Male,T12,1500m,800m,2003-01-25,161,60,3,False,Monitoring,Available,Coach Kgamanyane,Serowe,Elite
A0074,Tshepo Pule 074,Male,T12,200m,800m,2003-06-25,168,57,4,False,Monitoring,Monitor,Coach Pule,Lobatse,Elite
A0075,Mpho Motsumi 075,Male,T12,400m,200m,1993-08-14,168,51,5,False,Recovering,Available,Coach Molefe,Lobatse,Podium Track
A0076,Tiro Basinyi 076,Male,T11,100m,1500m,2007-02-13,171,48,4,True,Recovering,Monitor,Coach Molefe,Serowe,National
A0077,Tumelo Mokalake 077,Male,T11,100m,800m,1996-06-19,169,71,8,True,Healthy,Available,Coach Pule,Francistown,Elite
A0078,Tumelo Kgamanyane 078,Male,T12,200m,400m,1994-04-03,179,80,8,True,Healthy,Available,Coach Ranku,Serowe,National
A0079,Neo Basinyi 079,Male,T13,100m,800m,1993-02-16,158,71,4,False,Recovering,Unavailable,Coach Pule,Gaborone,Emerging
A0080,Katlego Moroka 080,Male,T12,100m,200m,2005-11-26,180,73,6,False,Healthy,Available,Coach Basinyi,Francistown,Emerging
A0081,Tebogo Kgamanyane 081,Male,T13,100m,400m,1999-05-04,163,68,7,False,Healthy,Available,Coach Kgamanyane,Gaborone,Elite
A0082,Thato Motsumi 082,Male,T13,400m,100m,2000-11-12,185,51,9,False,Healthy,Available,Coach Molefe,Molepolole,National
A0083,Onkabetse Motsepe 083,Male,T13,200m,800m,2001-05-15,174,75,1,False,Healthy,Monitor,Coach Basinyi,Lobatse,National
A0084,Bakang Lelaka 084,Male,T13,1500m,400m,2000-10-05,165,70,7,False,Healthy,Restricted,Coach Modise,Francistown,National
A0085,Bakang Mosinyi 085,Male,T13,200m,800m,1995-08-24,162,57,3,False,Healthy,Available,Coach Motswana,Molepolole,National
A0086,Oarabile Rammidi 086,Male,T12,1500m,200m,2003-09-09,164,66,3,True,Healthy,Available,Coach Ranku,Serowe,Emerging
A0087,Thato Mokalake 087,Male,T11,1500m,800m,2005-08-17,170,73,7,True,Healthy,Restricted,Coach Motswana,Molepolole,National
A0088,Neo Motsepe 088,Male,T12,100m,1500m,2000-12-18,163,63,9,True,Healthy,Available,Coach Molefe,Francistown,Emerging
A0089,Neo Kgamanyane 089,Male,T11,400m,100m,1999-04-09,178,70,2,True,Monitoring,Available,Coach Kgamanyane,Molepolole,National
A0090,Bakang Mokalake 090,Male,T12,200m,800m,1992-07-10,160,70,1,False,Recovering,Unavailable,Coach Ranku,Francistown,National
A0091,Karabo Basinyi 091,Male,T13,800m,1500m,1994-11-18,167,68,6,False,Monitoring,Available,Coach Ranku,Selebi-Phikwe,Emerging
A0092,Lebo Motsumi 092,Male,T11,100m,800m,2003-06-22,173,75,2,True,Healthy,Monitor,Coach Modise,Molepolole,Elite
A0093,Tshepo Lelaka 093,Male,T13,1500m,100m,2003-01-12,171,48,5,False,Healthy,Available,Coach Pule,Gaborone,Emerging
A0094,Katlego Bantsi 094,Male,T11,800m,400m,2002-03-27,160,71,3,True,Healthy,Available,Coach Ranku,Francistown,Elite
A0095,Lesego Pule 095,Male,T12,100m,400m,1998-03-28,168,75,6,False,Monitoring,Available,Coach Kgamanyane,Gaborone,National
A0096,Lebo Motsumi 096,Male,T12,200m,1500m,1994-05-06,173,58,5,False,Recovering,Available,Coach Modise,Molepolole,National
A0097,Katlego Bantsi 097,Male,T12,200m,400m,2001-12-02,179,57,4,False,Healthy,Available,Coach Dube,Maun,National
A0098,Lebo Bantsi 098,Male,T12,1500m,400m,1996-12-20,154,83,3,False,Healthy,Available,Coach Modise,Lobatse,Elite
A0099,Lebo Mogapi 099,Male,T13,100m,400m,1993-01-08,155,70,1,False,Healthy,Available,Coach Basinyi,Maun,National
A0100,Kagiso Mogapi 100,Male,T12,200m,800m,2005-12-29,178,66,8,True,Healthy,Available,Coach Pule,Molepolole,National
A0101,Tshepo Basinyi 101,Male,T11,400m,800m,1997-12-04,157,74,1,True,Healthy,Available,Coach Basinyi,Selebi-Phikwe,National
A0102,Karabo Mogae 102,Male,T11,800m,100m,1992-07-25,159,52,7,True,Healthy,Available,Coach Dube,Serowe,Emerging
A0103,Kagiso Lelaka 103,Male,T12,400m,200m,2005-08-21,168,72,9,True,Monitoring,Monitor,Coach Motswana,Selebi-Phikwe,Emerging
A0104,Tumelo Rammidi 104,Male,T12,100m,1500m,2001-10-17,173,72,8,True,Healthy,Monitor,Coach Ranku,Francistown,Elite
A0105,Neo Mosinyi 105,Male,T11,400m,100m,2008-10-24,167,63,5,True,Healthy,Available,Coach Modise,Molepolole,National
A0106,Lebo Bantsi 106,Male,T12,1500m,200m,1995-10-22,161,62,5,False,Healthy,Monitor,Coach Pule,Francistown,Emerging
A0107,Goitseone Kgamanyane 107,Male,T13,200m,400m,2006-02-22,175,62,9,False,Monitoring,Available,Coach Dube,Serowe,National
A0108,Kabelo Ranku 108,Male,T13,100m,800m,2000-10-12,174,59,2,False,Recovering,Restricted,Coach Motswana,Gaborone,Elite
A0109,Kabelo Mosinyi 109,Male,T11,1500m,400m,2007-09-19,166,65,1,True,Healthy,Available,Coach Dube,Molepolole,Podium Track
A0110,Mpho Motsumi 110,Male,T11,400m,800m,2003-12-22,169,70,2,True,Monitoring,Available,Coach Pule,Francistown,Emerging
A0111,Kagiso Motsumi 111,Male,T11,800m,100m,2006-03-01,172,80,5,True,Monitoring,Available,Coach Molefe,Serowe,Elite
A0112,Thato Mokalake 112,Male,T12,200m,100m,1993-01-31,169,62,6,False,Healthy,Monitor,Coach Ranku,Serowe,National
A0113,Tumelo Lelaka 113,Male,T13,100m,200m,2007-10-21,162,65,1,False,Recovering,Available,Coach Molefe,Selebi-Phikwe,National
A0114,Tumelo Moroka 114,Male,T12,400m,800m,1992-02-05,176,58,6,False,Monitoring,Available,Coach Motswana,Lobatse,Elite
A0115,Katlego Bantsi 115,Male,T12,100m,400m,1995-09-20,170,71,2,True,Healthy,Available,Coach Molefe,Molepolole,Podium Track
A0116,Goitseone Mogapi 116,Male,T11,1500m,100m,2006-06-26,169,60,1,True,Healthy,Available,Coach Kgamanyane,Lobatse,National
A0117,Keabetswe Moroka 117,Male,T12,800m,200m,2005-04-28,178,65,1,True,Healthy,Available,Coach Motswana,Serowe,Podium Track
A0118,Karabo Molefe 118,Male,T11,200m,800m,1994-10-29,174,75,6,True,Monitoring,Available,Coach Pule,Selebi-Phikwe,National
A0119,Thato Bantsi 119,Male,T12,400m,200m,2008-03-21,180,61,6,False,Recovering,Available,Coach Motswana,Francistown,Elite
A0120,Goitseone Kgamanyane 120,Male,T11,1500m,100m,2006-10-03,166,67,2,True,Healthy,Available,Coach Motswana,Serowe,Emerging
A0121,Tumelo Mokalake 121,Male,T12,100m,200m,2002-05-28,169,47,1,False,Healthy,Available,Coach Modise,Molepolole,Emerging
A0122,Neo Mokalake 122,Male,T12,100m,1500m,2001-08-23,181,65,7,True,Healthy,Available,Coach Pule,Molepolole,Emerging
A0123,Onkabetse Mosinyi 123,Male,T12,200m,100m,2000-12-21,176,54,3,True,Healthy,Monitor,Coach Ranku,Lobatse,Elite
A0124,Kabelo Ranku 124,Male,T12,400m,200m,1992-03-28,181,59,7,True,Monitoring,Restricted,Coach Molefe,Gaborone,Elite
A0125,Lesego Kgamanyane 125,Male,T11,800m,200m,1994-04-08,170,52,8,True,Recovering,Available,Coach Ranku,Selebi-Phikwe,National
A0126,Kabelo Mogapi 126,Male,T12,200m,1500m,2000-10-20,169,62,9,False,Healthy,Monitor,Coach Basinyi,Molepolole,Emerging
A0127,Tebogo Bantsi 127,Male,T11,200m,100m,2001-06-07,169,68,6,True,Recovering,Available,Coach Pule,Maun,Emerging
A0128,Oarabile Pule 128,Male,T13,1500m,800m,1994-11-25,171,73,2,False,Healthy,Available,Coach Pule,Serowe,Emerging
A0129,Tshepo Mogapi 129,Male,T13,800m,1500m,1998-08-08,167,56,9,False,Healthy,Monitor,Coach Ranku,Maun,National
A0130,Neo Bantsi 130,Male,T13,400m,1500m,2002-10-20,170,70,1,False,Healthy,Available,Coach Kgamanyane,Maun,National
A0131,Tiro Mogae 131,Male,T12,400m,800m,2000-08-20,180,72,1,True,Healthy,Monitor,Coach Basinyi,Serowe,Emerging
A0132,Tshepo Mogapi 132,Male,T12,100m,200m,1998-07-28,156,68,5,True,Recovering,Available,Coach Motswana,Serowe,Emerging
A0133,Neo Moroka 133,Male,T13,200m,400m,2001-01-10,182,65,9,False,Healthy,Available,Coach Molefe,Molepolole,Emerging
A0134,Keabetswe Mokalake 134,Male,T11,400m,100m,2001-11-01,166,67,2,True,Recovering,Available,Coach Modise,Francistown,Elite
A0135,Tshepo Mogae 135,Male,T12,100m,1500m,1997-07-12,166,70,8,False,Healthy,Available,Coach Dube,Francistown,Elite
A0136,Goitseone Basinyi 136,Male,T13,200m,800m,2000-05-29,170,77,7,False,Monitoring,Unavailable,Coach Molefe,Francistown,Elite
A0137,Katlego Lelaka 137,Male,T11,100m,800m,1994-02-08,174,58,9,True,Monitoring,Available,Coach Motswana,Gaborone,Elite
A0138,Thato Ranku 138,Male,T12,200m,800m,2004-06-05,175,73,4,False,Healthy,Available,Coach Modise,Maun,National
A0139,Keabetswe Motsumi 139,Male,T13,200m,1500m,2003-04-19,166,61,5,False,Recovering,Available,Coach Pule,Molepolole,National
A0140,Tiro Mosinyi 140,Male,T12,200m,800m,1993-12-18,152,73,1,False,Monitoring,Monitor,Coach Modise,Selebi-Phikwe,Emerging
A0141,Tebogo Motsepe 141,Male,T12,100m,400m,2006-10-04,166,45,1,False,Recovering,Restricted,Coach Modise,Selebi-Phikwe,Elite
A0142,Tshepo Rammidi 142,Male,T11,400m,1500m,1995-11-25,156,62,2,True,Healthy,Monitor,Coach Modise,Serowe,National
A0143,Kagiso Lelaka 143,Male,T12,800m,400m,1998-10-10,177,64,3,True,Monitoring,Available,Coach Dube,Lobatse,National
A0144,Tebogo Mogae 144,Male,T12,100m,200m,2007-08-09,174,55,7,False,Monitoring,Available,Coach Modise,Selebi-Phikwe,Elite
A0145,Tshepo Mogae 145,Male,T13,400m,100m,1996-10-04,160,72,3,False,Healthy,Available,Coach Dube,Molepolole,National
A0146,Kagiso Rammidi 146,Male,T11,100m,1500m,2008-02-18,174,64,4,True,Monitoring,Monitor,Coach Motswana,Gaborone,Emerging
A0147,Katlego Dube 147,Male,T13,100m,1500m,1997-09-12,181,56,1,False,Healthy,Available,Coach Dube,Molepolole,National
A0148,Mpho Motsepe 148,Male,T12,400m,200m,2005-08-28,167,74,1,False,Healthy,Available,Coach Ranku,Lobatse,Podium Track
A0149,Onkabetse Dube 149,Male,T13,100m,400m,2001-05-16,185,65,8,False,Monitoring,Monitor,Coach Ranku,Maun,National
A0150,Goitseone Mokalake 150,Male,T11,400m,800m,2008-04-11,184,59,1,True,Healthy,Available,Coach Kgamanyane,Selebi-Phikwe,Elite
A0151,Bakang Pule 151,Male,T12,400m,200m,1992-01-14,173,63,6,True,Healthy,Available,Coach Motswana,Selebi-Phikwe,Elite
A0152,Tebogo Mokalake 152,Male,T13,800m,200m,2004-04-14,158,67,8,False,Healthy,Available,Coach Ranku,Serowe,Emerging
A0153,Oarabile Kgamanyane 153,Male,T13,400m,200m,1993-04-16,178,63,7,False,Monitoring,Available,Coach Kgamanyane,Selebi-Phikwe,National
A0154,Kabelo Motsepe 154,Male,T12,100m,800m,2004-12-31,170,77,9,True,Healthy,Restricted,Coach Basinyi,Lobatse,Elite
A0155,Lebo Kgamanyane 155,Male,T11,100m,400m,1998-07-02,161,51,6,True,Recovering,Available,Coach Modise,Serowe,Elite
A0156,Lebo Dube 156,Male,T11,1500m,800m,1994-05-19,165,54,6,True,Monitoring,Monitor,Coach Motswana,Maun,National
A0157,Kabelo Mogapi 157,Male,T12,400m,100m,2004-09-06,181,67,8,False,Recovering,Available,Coach Kgamanyane,Serowe,Emerging
A0158,Lesego Ranku 158,Male,T11,200m,400m,1992-11-06,164,59,6,True,Healthy,Unavailable,Coach Modise,Gaborone,Emerging
A0159,Kabelo Motsumi 159,Male,T11,200m,1500m,1993-06-09,193,59,7,True,Healthy,Available,Coach Molefe,Maun,National
A0160,Goitseone Pule 160,Male,T13,1500m,800m,1995-08-01,164,67,6,False,Healthy,Unavailable,Coach Pule,Francistown,Emerging
A0161,Tebogo Bantsi 161,Male,T13,100m,200m,1993-01-20,176,66,5,False,Recovering,Available,Coach Ranku,Gaborone,Elite
A0162,Kagiso Dube 162,Male,T12,100m,400m,2005-04-07,163,54,8,True,Healthy,Available,Coach Basinyi,Maun,National
A0163,Oarabile Mosinyi 163,Male,T12,200m,1500m,2007-03-14,175,64,1,True,Monitoring,Available,Coach Pule,Serowe,Emerging
A0164,Tebogo Moroka 164,Male,T13,100m,800m,1995-02-18,157,75,8,False,Healthy,Restricted,Coach Modise,Serowe,Elite
A0165,Kabelo Rammidi 165,Male,T12,200m,400m,1995-03-15,177,62,6,False,Healthy,Monitor,Coach Motswana,Molepolole,National
A0166,Karabo Dube 166,Male,T12,100m,1500m,1998-01-29,168,67,5,True,Healthy,Monitor,Coach Kgamanyane,Lobatse,National
A0167,Kagiso Molefe 167,Male,T12,200m,400m,2006-12-27,165,52,4,True,Recovering,Available,Coach Kgamanyane,Gaborone,Podium Track
A0168,Lesego Kgamanyane 168,Male,T13,200m,800m,1997-05-04,173,52,2,False,Monitoring,Available,Coach Motswana,Gaborone,Podium Track
A0169,Tumelo Dube 169,Male,T13,100m,800m,2001-12-08,174,52,1,False,Recovering,Available,Coach Basinyi,Lobatse,National
A0170,Tebogo Ranku 170,Male,T11,400m,200m,2003-09-13,170,63,4,True,Healthy,Available,Coach Molefe,Serowe,Elite
A0171,Mpho Mogae 171,Male,T13,100m,400m,2007-11-15,185,55,4,False,Recovering,Available,Coach Dube,Gaborone,National
A0172,Lebo Ranku 172,Male,T13,800m,400m,2006-05-03,159,59,8,False,Healthy,Available,Coach Ranku,Francistown,National
A0173,Lesego Pule 173,Male,T11,800m,400m,2007-10-01,162,59,6,True,Recovering,Available,Coach Dube,Maun,Emerging
A0174,Lebo Basinyi 174,Male,T13,100m,800m,1999-03-14,174,71,7,False,Recovering,Monitor,Coach Dube,Maun,Elite
A0175,Kagiso Mogae 175,Male,T12,100m,400m,1997-01-06,184,58,3,False,Healthy,Available,Coach Kgamanyane,Selebi-Phikwe,Emerging
A0176,Kabelo Lelaka 176,Male,T11,400m,200m,2005-06-11,192,82,8,True,Recovering,Available,Coach Ranku,Gaborone,Emerging
A0177,Katlego Mosinyi 177,Male,T13,100m,200m,2005-02-20,169,44,9,False,Healthy,Available,Coach Molefe,Lobatse,National
A0178,Tshepo Pule 178,Male,T13,100m,1500m,1995-09-08,170,65,1,False,Monitoring,Available,Coach Dube,Lobatse,Elite
A0179,Tebogo Mogapi 179,Male,T12,100m,800m,2004-08-28,152,65,6,False,Monitoring,Monitor,Coach Dube,Maun,Elite
A0180,Lebo Dube 180,Male,T13,1500m,200m,2006-11-15,169,57,1,False,Healthy,Available,Coach Motswana,Gaborone,Elite
A0181,Goitseone Ranku 181,Male,T11,400m,200m,2000-11-26,176,74,8,True,Healthy,Monitor,Coach Dube,Gaborone,Emerging
A0182,Lesego Bantsi 182,Male,T12,800m,100m,2003-09-02,167,67,1,True,Monitoring,Available,Coach Dube,Maun,National
A0183,Kagiso Mokalake 183,Male,T12,100m,200m,2003-07-10,165,57,5,False,Healthy,Available,Coach Motswana,Lobatse,National
A0184,Kagiso Dube 184,Male,T13,800m,400m,2008-07-03,171,69,2,False,Recovering,Available,Coach Ranku,Selebi-Phikwe,Emerging
A0185,Neo Motsepe 185,Male,T11,400m,1500m,1998-10-23,166,45,8,True,Monitoring,Monitor,Coach Dube,Francistown,Elite
A0186,Goitseone Pule 186,Male,T11,400m,1500m,1999-11-28,175,50,3,True,Healthy,Available,Coach Basinyi,Lobatse,Emerging
A0187,Lesego Mokalake 187,Male,T13,100m,200m,1995-07-22,171,81,9,False,Healthy,Available,Coach Basinyi,Lobatse,Elite
A0188,Tebogo Motsepe 188,Male,T13,200m,100m,2007-03-14,170,54,3,False,Monitoring,Available,Coach Basinyi,Francistown,National
A0189,Thato Bantsi 189,Male,T13,200m,1500m,2006-02-22,159,75,3,False,Monitoring,Monitor,Coach Dube,Lobatse,Emerging
A0190,Keabetswe Mosinyi 190,Male,T12,1500m,200m,2005-12-08,170,69,2,False,Monitoring,Monitor,Coach Ranku,Maun,National
A0191,Katlego Mokalake 191,Male,T12,400m,1500m,2008-09-22,178,64,8,True,Monitoring,Available,Coach Motswana,Selebi-Phikwe,National
A0192,Tumelo Dube 192,Male,T12,200m,400m,1999-04-07,168,56,4,False,Healthy,Available,Coach Modise,Gaborone,Emerging
A0193,Kabelo Motsumi 193,Male,T11,800m,400m,1999-01-03,148,51,9,True,Recovering,Unavailable,Coach Modise,Lobatse,Podium Track
A0194,Karabo Mogapi 194,Male,T11,400m,1500m,2007-03-04,170,63,2,True,Recovering,Available,Coach Modise,Maun,Podium Track
A0195,Lebo Motsepe 195,Male,T13,1500m,200m,2001-06-12,174,63,8,False,Monitoring,Available,Coach Basinyi,Molepolole,Elite
A0196,Lebo Rammidi 196,Male,T11,200m,100m,2003-07-01,172,72,3,True,Healthy,Available,Coach Kgamanyane,Molepolole,Elite
A0197,Goitseone Ranku 197,Male,T12,400m,200m,1996-02-03,163,62,1,True,Recovering,Available,Coach Basinyi,Selebi-Phikwe,National
